horizon,SG,US-MIDA-PJM,US-NY-NYIS,FI,BE
81,4.759080770874218,9.677195124973085,13.796246992571772,14.718684698906307,22.882620173627764
82,4.852375118908386,10.002847149286215,13.933413694882402,14.852709063010403,23.927464403747834
83,4.622387176849421,9.681744122255491,14.056611082479566,14.780557174541457,23.580681584794505
84,4.6399938711222095,9.62186989574858,13.902809894957329,14.527087473230607,24.58506165384977
85,4.433685060598403,9.652997153024453,14.063926606216365,14.552404495922305,24.599409844003667
86,4.322413587511922,9.643643713072048,13.997521312570123,14.585066695636439,24.456932512980114
87,4.520978886856922,9.729543683437562,13.54430961210659,14.029676576246471,24.361657989480133
88,4.981346363303691,9.862107773117087,13.637668165248423,13.825388559667532,24.40379640056349
89,5.1414935897476015,9.767390538886781,13.737414118093872,13.737720877038539,24.353585992223653
90,5.071110281423492,9.938482988777228,13.743773732490517,13.593299202143491,24.02805274412097
91,5.12555501477103,10.116767805630637,13.525412462509264,13.594896752128502,23.187317086715375
92,5.244929324945263,10.355283473275271,13.903691306579303,13.506671603449863,23.586884339201816
93,5.131527229460924,10.367040808462491,14.013935350731668,13.81021499401673,24.77845978180213
94,4.817558860783667,10.353239941640254,14.212570222959817,13.866463973433332,26.41573317874325
95,4.446676762977201,10.562136267409743,14.278006506360391,14.144438444500112,25.322127542627715
